"Google AdWords - Conversion Tracking","Google AdWords - Conversion Tracking"
"Enable","Aktivieren"
"Conversion ID","Conversion ID"
"Conversion Language","Conversion Sprache"
"Conversion Label","Conversion Bezeichnung"
"Background Color","Hintergrundfarbe"
"Default background color in CSS notation without # i.e. ""ffffff"".","Die Standard-Hintergrundfarbe in CSS notation ohne # z.B. ""ffffff""."
"Color","Farbe"
"Page","Seite"
"Onepage Checkout Success","Onepage Checkout Bestellabschluss"
"PayPal Standard Checkout Success","PayPal Bestellabschluss"
"Use Custom Action Name","Benutzerdefiniert"
"Custom Action","Benutzerdefiniert"
"Label","Bezeichnung"
"Submit Order Value","Bestellwert Übermitteln"
"Select ""Custom Action"" to define a custom layout handle in the ""Custom Action"" field.","Wählen Sie ""Benutzerdefiniert"" um ein benutzerdefiniertes Layout-Handle im Feld ""Benutzerdefiniert"" anzugeben."